Date,High,Low,Open,Close,Volume,Adj Close,Name
2021-04-15,34.0,32.0,33.5,33.5,160494,33.5,BKY.L
2021-04-16,33.150001525878906,32.04999923706055,33.5,32.5,271266,32.5,BKY.L
2021-04-19,33.5,30.0,32.75,31.5,357618,31.5,BKY.L
2021-04-20,30.889999389648438,30.0,30.75,30.5,16746,30.5,BKY.L
2021-04-21,31.0,30.020000457763672,30.5,30.5,13275,30.5,BKY.L
2021-04-22,30.0,30.0,30.5,30.5,141606,30.5,BKY.L
2021-04-23,31.0,30.0,30.5,30.5,305000,30.5,BKY.L
2021-04-26,30.979999542236328,30.25,30.5,30.5,50068,30.5,BKY.L
2021-04-27,30.25,30.25,30.25,30.25,0,30.25,BKY.L
2021-04-28,30.510000228881836,30.0,30.25,30.5,80517,30.5,BKY.L
2021-04-29,32.0,30.75,31.0,30.75,25544,30.75,BKY.L
2021-04-30,31.350000381469727,30.0,30.75,30.5,299447,30.5,BKY.L
2021-05-04,30.899999618530273,30.0,30.5,30.25,126489,30.25,BKY.L
2021-05-05,31.649999618530273,30.0,30.25,31.0,251139,31.0,BKY.L
2021-05-06,31.0,30.0,30.5,30.5,878595,30.5,BKY.L
2021-05-07,31.0,30.100000381469727,30.5,30.25,211257,30.25,BKY.L
2021-05-10,30.5,30.125,30.25,30.25,87743,30.25,BKY.L
2021-05-11,30.5,29.020000457763672,30.25,29.75,306261,29.75,BKY.L
2021-05-12,30.170000076293945,29.100000381469727,29.75,29.5,162331,29.5,BKY.L
2021-05-13,29.049999237060547,29.0,29.25,29.0,13607,29.0,BKY.L
2021-05-14,30.0,27.110000610351562,26.75,30.0,285392,30.0,BKY.L
2021-05-17,30.0,29.610000610351562,29.25,29.25,14343,29.25,BKY.L
2021-05-18,29.399999618530273,29.010000228881836,29.25,29.25,135748,29.25,BKY.L
2021-05-19,29.3700008392334,29.05500030517578,29.25,29.25,14904,29.25,BKY.L
2021-05-20,33.5,28.239999771118164,29.25,33.0,471470,33.0,BKY.L
2021-05-21,33.79999923706055,33.150001525878906,33.0,33.75,53793,33.75,BKY.L
2021-05-24,33.5,33.02000045776367,33.75,33.25,58795,33.25,BKY.L
2021-05-25,34.20000076293945,32.0,33.25,32.75,34754,32.75,BKY.L
2021-05-26,32.0,32.0,32.75,32.5,10491,32.5,BKY.L
2021-05-27,32.5,32.5,32.5,32.25,450,32.25,BKY.L
2021-05-28,32.5,31.75,32.25,31.5,120005,31.5,BKY.L
2021-06-01,31.979999542236328,31.225000381469727,31.5,31.75,136445,31.75,BKY.L
2021-06-02,32.5,30.899999618530273,31.75,32.25,265244,32.25,BKY.L
2021-06-03,32.35499954223633,32.349998474121094,32.25,32.25,133360,32.25,BKY.L
2021-06-04,32.5,32.02000045776367,32.25,32.25,33489,32.25,BKY.L
2021-06-07,32.5,31.75,32.25,32.25,239524,32.25,BKY.L
2021-06-08,32.125,32.02000045776367,32.25,32.25,3800,32.25,BKY.L
2021-06-09,33.0,32.125,32.25,32.5,130478,32.5,BKY.L
2021-06-10,32.400001525878906,32.02000045776367,32.5,32.5,17762,32.5,BKY.L
2021-06-11,33.0,31.020000457763672,32.5,31.5,189142,31.5,BKY.L
2021-06-14,32.47999954223633,31.232999801635742,31.5,31.75,61339,31.75,BKY.L
2021-06-15,32.45000076293945,31.0,31.75,31.75,374404,31.75,BKY.L
2021-06-16,31.649999618530273,31.260000228881836,31.75,31.5,62017,31.5,BKY.L
2021-06-17,31.25,31.25,31.5,31.5,15463,31.5,BKY.L
2021-06-18,31.25,31.25,31.5,31.5,8920,31.5,BKY.L
2021-06-21,31.02199935913086,31.0,31.5,30.75,51160,30.75,BKY.L
2021-06-22,31.25,31.25,30.75,30.5,59590,30.5,BKY.L
2021-06-23,30.899999618530273,30.25,30.5,30.5,70825,30.5,BKY.L
2021-06-24,30.75,30.020000457763672,30.5,30.5,96951,30.5,BKY.L
2021-06-25,30.049999237060547,30.0,30.5,30.25,74924,30.25,BKY.L
2021-06-28,30.0,29.600000381469727,30.25,30.0,215197,30.0,BKY.L
2021-06-29,29.8700008392334,29.0,29.75,29.5,42681,29.5,BKY.L
2021-06-30,29.0,28.0,29.5,28.0,392630,28.0,BKY.L
2021-07-01,29.125,28.399999618530273,28.75,29.0,55036,29.0,BKY.L
2021-07-02,28.899999618530273,28.899999618530273,29.0,29.0,1050,29.0,BKY.L
2021-07-05,28.899999618530273,28.399999618530273,29.0,29.0,317,29.0,BKY.L
2021-07-06,28.899999618530273,28.350000381469727,29.0,29.0,15162,29.0,BKY.L
2021-07-07,28.25,28.0,29.0,28.75,3201,28.75,BKY.L
2021-07-08,32.0,28.899999618530273,28.75,31.5,127392,31.5,BKY.L
2021-07-09,36.47999954223633,32.0,31.25,34.5,507406,34.5,BKY.L
2021-07-12,35.5,15.020000457763672,34.5,15.75,1420211,15.75,BKY.L
2021-07-13,16.5,10.875,14.0,12.600000381469727,10995061,12.600000381469727,BKY.L
2021-07-14,14.5,12.5,13.0,13.75,5754416,13.75,BKY.L
2021-07-15,18.0,12.850000381469727,13.5,16.5,4704760,16.5,BKY.L
2021-07-16,19.0,16.5,17.0,17.5,2591084,17.5,BKY.L
2021-07-19,17.375,15.0,17.5,15.25,732798,15.25,BKY.L
2021-07-20,15.5,14.0,14.75,14.75,356640,14.75,BKY.L
2021-07-21,15.5,14.074999809265137,14.75,14.100000381469727,732277,14.100000381469727,BKY.L
2021-07-22,15.239999771118164,14.5,15.0,15.0,154263,15.0,BKY.L
